,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
1AD.AX,multipleSymbols,1AD.AX,4,2,-3.5,-1.75,-1.75,0,-2,0,-3.5,0.353553390593272,0.249999999999999,0,100,0,NA,NA,-1.75,-1.75,-1.75,-1.75,0.353553390593272,0.249999999999999,-78.5748051222531,-3.5,-1,NA,NA,0,-3.5,-3.5
1AG.AX,multipleSymbols,1AG.AX,2,1,-0.100000000000001,-0.100000000000001,-0.100000000000001,0,-0.100000000000001,0,-0.100000000000001,NA,NA,0,100,0,NA,NA,-0.100000000000001,-0.100000000000001,-0.100000000000001,-0.100000000000001,NA,NA,NA,-1.4,-0.0714285714285718,NA,NA,1.3,-0.100000000000001,-0.100000000000001
1ST.AX,multipleSymbols,1ST.AX,2,1,3.2,3.2,3.2,3.2,0,3.2,0,NA,NA,100,0,NA,3.2,3.2,NA,NA,3.2,3.2,NA,NA,NA,-2,1.6,NA,NA,5,-0.7,3.2
360.AX,multipleSymbols,360.AX,2,1,-1,-0.999999999999979,-0.999999999999979,0,-0.999999999999979,0,-0.999999999999979,NA,NA,0,100,0,NA,NA,-0.999999999999979,-0.999999999999979,-0.999999999999979,-0.999999999999979,NA,NA,NA,-71,-0.0140845070422535,NA,NA,70,-20,-1
3DA.AX,multipleSymbols,3DA.AX,2,1,-12,-12,-12,0,-12,0,-12,NA,NA,0,100,0,NA,NA,-12,-12,-12,-12,NA,NA,NA,-21,-0.571428571428571,NA,NA,6,-21,-12
3DP.AX,multipleSymbols,3DP.AX,6,3,0.5,0.166666666666667,0.5,8,-8,8.5,-8,8.00520663901522,4.62180820795401,66.6666666666667,33.3333333333333,1.0625,4.25,4.25,-8,-8,0.166666666666667,0.5,8.00520663901522,4.62180820795401,0.330503812127711,-31,0.0161290322580645,0.53125,0.53125,21,-22,0.5
3PL.AX,multipleSymbols,3PL.AX,4,2,3,1.5,1.5,7.00000000000001,-4,7.00000000000001,-4,7.77817459305203,5.5,50,50,1.75,7.00000000000001,7.00000000000001,-4,-4,1.5,1.5,7.77817459305203,5.5,3.06135604372413,-21.5,0.13953488372093,1.75,1.75,17.5,-15,3
4CE.AX,multipleSymbols,4CE.AX,6,3,5.55,1.85,1.5,2.8,0,5.55,0,0.832165848854663,0.480451176846653,100,0,NA,1.85,1.5,NA,NA,1.85,1.5,0.832165848854663,0.480451176846653,35.2908492859168,-4.25,1.30588235294117,NA,NA,6.05,-0.899999999999999,5.55
4DS.AX,multipleSymbols,4DS.AX,6,3,8.2,2.73333333333333,2.2,4,0,8.2,0,1.10151410945722,0.635959467611298,100,0,NA,2.73333333333333,2.2,NA,NA,2.73333333333333,2.2,1.10151410945722,0.635959467611298,39.3915258360514,-9,0.911111111111111,NA,NA,15.7,0,8.2
5GN.AX,multipleSymbols,5GN.AX,8,4,95.5,23.875,22,36.5,0,95.5,0,9.07721506483862,4.53860753241931,100,0,NA,23.875,22,NA,NA,23.875,22,9.07721506483862,4.53860753241931,41.7533211015465,-26.5,3.60377358490566,NA,NA,112.5,-4,95.5
88E.AX,multipleSymbols,88E.AX,2,1,-1.9,-1.9,-1.9,0,-1.9,0,-1.9,NA,NA,0,100,0,NA,NA,-1.9,-1.9,-1.9,-1.9,NA,NA,NA,-1.95,-0.974358974358974,NA,NA,0,-1.95,-1.9
8CO.AX,multipleSymbols,8CO.AX,4,2,-4,-2,-2,0,-2.5,0,-4,0.707106781186548,0.5,0,100,0,NA,NA,-2,-2,-2,-2,0.707106781186548,0.5,-44.8998886412872,-5.5,-0.727272727272727,NA,NA,1.5,-4,-4
8IH.AX,multipleSymbols,8IH.AX,4,2,-4,-2,-2,0,-2.5,0,-4,0.707106781186546,0.499999999999999,0,100,0,NA,NA,-2,-2,-2,-2,0.707106781186546,0.499999999999999,-44.8998886412874,-4,-1,NA,NA,0,-4,-4
8VI.AX,multipleSymbols,8VI.AX,6,3,69,23,43,54,-28,97,-28,44.5084261685358,25.6969518296107,66.6666666666667,33.3333333333333,3.46428571428571,48.5,48.5,-28,-28,23,43,44.5084261685358,25.6969518296107,8.20324851623314,-171,0.403508771929824,1.73214285714286,1.73214285714286,200,-2,69
9SP.AX,multipleSymbols,9SP.AX,2,1,-0.299999999999999,-0.3,-0.3,0,-0.3,0,-0.3,NA,NA,0,100,0,NA,NA,-0.3,-0.3,-0.3,-0.3,NA,NA,NA,-1.1,-0.272727272727272,NA,NA,0.8,-0.299999999999999,-0.299999999999999
A1M.AX,multipleSymbols,A1M.AX,4,2,-6,-3,-3,2,-8,2,-8,7.07106781186547,5,50,50,0.25,2,2,-8,-8,-3,-3,7.07106781186547,5,-6.7349832961931,-16,-0.375,0.25,0.25,10,-6,-6
A2M.AX,multipleSymbols,A2M.AX,6,3,181,60.3333333333333,98,133,-50,231,-50,97.1407912945603,56.0842620032077,66.6666666666667,33.3333333333333,4.62,115.5,115.5,-50,-50,60.3333333333333,98,97.1407912945603,56.0842620032077,9.85952411794914,-122,1.48360655737705,2.31,2.31,237,-114,181
A4N.AX,multipleSymbols,A4N.AX,4,2,5.5,2.75,2.75,6.99999999999999,-1.5,6.99999999999999,-1.5,6.01040764008565,4.25,50,50,4.66666666666667,6.99999999999999,6.99999999999999,-1.5,-1.5,2.75,2.75,6.01040764008565,4.25,7.26321728020824,-8.49999999999999,0.647058823529412,4.66666666666667,4.66666666666667,9,-8,5.5
AAJ.AX,multipleSymbols,AAJ.AX,8,4,7.9,1.975,0.499999999999999,7.5,-0.600000000000001,9,-1.1,3.80821480486592,1.90410740243296,50,50,8.18181818181817,4.5,4.5,-0.55,-0.55,1.975,0.499999999999999,3.80821480486592,1.90410740243296,8.2327690644066,-23.9999,0.329168038200159,8.18181818181817,8.18181818181817,29.9999,-1.5,7.9
AAP.AX,multipleSymbols,AAP.AX,6,3,-0.7,-0.233333333333333,-0.1,0,-0.5,0,-0.699999999999999,0.23094010767585,0.133333333333333,0,100,0,NA,NA,-0.233333333333333,-0.1,-0.233333333333333,-0.1,0.23094010767585,0.133333333333333,-16.0390149323454,-1.1,-0.636363636363636,NA,NA,0,-1.1,-0.7
