,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
360.AX,multipleSymbols,360.AX,2,1,-1,-0.999999999999979,-0.999999999999979,0,-0.999999999999979,0,-0.999999999999979,NA,NA,0,100,0,NA,NA,-0.999999999999979,-0.999999999999979,-0.999999999999979,-0.999999999999979,NA,NA,NA,-71,-0.0140845070422535,NA,NA,70,-20,-1
3DA.AX,multipleSymbols,3DA.AX,2,1,-12,-12,-12,0,-12,0,-12,NA,NA,0,100,0,NA,NA,-12,-12,-12,-12,NA,NA,NA,-21,-0.571428571428571,NA,NA,6,-21,-12
3DP.AX,multipleSymbols,3DP.AX,6,3,0.5,0.166666666666667,0.5,8,-8,8.5,-8,8.00520663901522,4.62180820795401,66.6666666666667,33.3333333333333,1.0625,4.25,4.25,-8,-8,0.166666666666667,0.5,8.00520663901522,4.62180820795401,0.330503812127711,-31,0.0161290322580645,0.53125,0.53125,21,-22,0.5
3PL.AX,multipleSymbols,3PL.AX,4,2,3,1.5,1.5,7.00000000000001,-4,7.00000000000001,-4,7.77817459305203,5.5,50,50,1.75,7.00000000000001,7.00000000000001,-4,-4,1.5,1.5,7.77817459305203,5.5,3.06135604372413,-21.5,0.13953488372093,1.75,1.75,17.5,-15,3
5GN.AX,multipleSymbols,5GN.AX,8,4,95.5,23.875,22,36.5,0,95.5,0,9.07721506483862,4.53860753241931,100,0,NA,23.875,22,NA,NA,23.875,22,9.07721506483862,4.53860753241931,41.7533211015465,-26.5,3.60377358490566,NA,NA,112.5,-4,95.5
8VI.AX,multipleSymbols,8VI.AX,6,3,69,23,43,54,-28,97,-28,44.5084261685358,25.6969518296107,66.6666666666667,33.3333333333333,3.46428571428571,48.5,48.5,-28,-28,23,43,44.5084261685358,25.6969518296107,8.20324851623314,-171,0.403508771929824,1.73214285714286,1.73214285714286,200,-2,69
A1M.AX,multipleSymbols,A1M.AX,4,2,-6,-3,-3,2,-8,2,-8,7.07106781186547,5,50,50,0.25,2,2,-8,-8,-3,-3,7.07106781186547,5,-6.7349832961931,-16,-0.375,0.25,0.25,10,-6,-6
A4N.AX,multipleSymbols,A4N.AX,2,1,7,6.99999999999999,6.99999999999999,6.99999999999999,0,6.99999999999999,0,NA,NA,100,0,NA,6.99999999999999,6.99999999999999,NA,NA,6.99999999999999,6.99999999999999,NA,NA,NA,-8.49999999999999,0.823529411764707,NA,NA,10.5,-6.5,7
AAJ.AX,multipleSymbols,AAJ.AX,2,1,-16.4999,-16.4999,-16.4999,0,-16.4999,0,-16.4999,NA,NA,0,100,0,NA,NA,-16.4999,-16.4999,-16.4999,-16.4999,NA,NA,NA,-22.4999,-0.733332148142881,NA,NA,5.99999999999999,-16.4999,-16.4999
ABL.AX,multipleSymbols,ABL.AX,2,1,39,39,39,39,0,39,0,NA,NA,100,0,NA,39,39,NA,NA,39,39,NA,NA,NA,-15,2.6,NA,NA,39,-10,39
ABP.AX,multipleSymbols,ABP.AX,2,1,-14,-14,-14,0,-14,0,-14,NA,NA,0,100,0,NA,NA,-14,-14,-14,-14,NA,NA,NA,-27,-0.518518518518518,NA,NA,13,-14,-14
ABR.AX,multipleSymbols,ABR.AX,2,1,12,12,12,12,0,12,0,NA,NA,100,0,NA,12,12,NA,NA,12,12,NA,NA,NA,-33,0.363636363636364,NA,NA,20,-13,12
AC8.AX,multipleSymbols,AC8.AX,2,1,-26,-26,-26,0,-26,0,-26,NA,NA,0,100,0,NA,NA,-26,-26,-26,-26,NA,NA,NA,-29,-0.896551724137931,NA,NA,1,-28,-26
ACF.AX,multipleSymbols,ACF.AX,2,1,20.5,20.5,20.5,20.5,0,20.5,0,NA,NA,100,0,NA,20.5,20.5,NA,NA,20.5,20.5,NA,NA,NA,-3.5,5.85714285714286,NA,NA,20.5,-2,20.5
ACQ.AX,multipleSymbols,ACQ.AX,8,4,3.94499999999999,0.98625,1,4.8627,-2.9177,6.8627,-2.9177,3.27963759837374,1.63981879918687,50,25,2.35209240154916,3.43135,3.43135,-2.9177,-2.9177,0.98625,1,3.27963759837374,1.63981879918687,4.77376933079073,-10.5,0.375714285714285,1.17604620077458,1.17604620077458,8.44499999999999,-4.86280000000001,3.94499999999999
AD8.AX,multipleSymbols,AD8.AX,4,2,32.9999999999999,16.5,16.5,53,-20,53,-20,51.618795026618,36.5,50,50,2.65,53,53,-20,-20,16.5,16.5,51.618795026618,36.5,5.07430248343315,-31.0000000000001,1.06451612903225,2.65,2.65,63,0,32.9999999999999
ADH.AX,multipleSymbols,ADH.AX,6,3,21,6.99999999999999,19,26,-24,45,-24,27.0739727413618,15.6311654502578,66.6666666666667,33.3333333333333,1.875,22.5,22.5,-24,-24,6.99999999999999,19,27.0739727413618,15.6311654502578,4.10436828485643,-48,0.437499999999999,0.937499999999999,0.937499999999999,64,-14,21
ADN.AX,multipleSymbols,ADN.AX,2,1,1,1,1,1,0,1,0,NA,NA,100,0,NA,1,1,NA,NA,1,1,NA,NA,NA,-3.5,0.285714285714285,NA,NA,1,-3,1
ADO.AX,multipleSymbols,ADO.AX,4,2,-5.5,-2.75,-2.75,7,-12.5,7,-12.5,13.7885822331377,9.75,50,50,0.56,7,7,-12.5,-12.5,-2.75,-2.75,13.7885822331377,9.75,-3.16601778880872,-14.5,-0.379310344827586,0.56,0.56,9,-5.5,-5.5
ADT.AX,multipleSymbols,ADT.AX,10,5,-98,-19.6,-22,12,-42.5,12,-110,21.4982557431993,9.61431224789376,20,80,0.109090909090909,12,12,-27.5,-28.5,-19.6,-22,21.4982557431993,9.61431224789376,-14.4728185345744,-123.5,-0.793522267206478,0.436363636363636,0.421052631578947,12,-111.5,-98
AEE.AX,multipleSymbols,AEE.AX,2,1,-13,-13,-13,0,-13,0,-13,NA,NA,0,100,0,NA,NA,-13,-13,-13,-13,NA,NA,NA,-18.5,-0.702702702702703,NA,NA,0,-18.5,-13
AEF.AX,multipleSymbols,AEF.AX,4,2,25.47,12.735,12.735,34,-8.52999999999999,34,-8.52999999999999,30.0732514038639,21.265,50,50,3.98593200468933,34,34,-8.52999999999999,-8.52999999999999,12.735,12.735,30.0732514038639,21.265,6.72231462316945,-160,0.1591875,3.98593200468933,3.98593200468933,91.47,-68.53,25.47
AEI.AX,multipleSymbols,AEI.AX,2,1,-6.5,-6.5,-6.5,0,-6.5,0,-6.5,NA,NA,0,100,0,NA,NA,-6.5,-6.5,-6.5,-6.5,NA,NA,NA,-7.5,-0.866666666666667,NA,NA,1,-6.5,-6.5
AFG.AX,multipleSymbols,AFG.AX,8,4,-3,-0.749999999999995,6.49999999999999,14,-30,27,-30,20.1556443707464,10.0778221853732,75,25,0.900000000000001,9,11,-30,-30,-0.749999999999995,6.49999999999999,20.1556443707464,10.0778221853732,-0.590697110982501,-76,-0.0394736842105263,0.3,0.366666666666666,38,-38,-3
AFL.AX,multipleSymbols,AFL.AX,2,1,-4,-4,-4,0,-4,0,-4,NA,NA,0,100,0,NA,NA,-4,-4,-4,-4,NA,NA,NA,-4.5,-0.888888888888889,NA,NA,0.5,-4.5,-4
AFP.AX,multipleSymbols,AFP.AX,2,1,22,22,22,22,0,22,0,NA,NA,100,0,NA,22,22,NA,NA,22,22,NA,NA,NA,-35.0000000000001,0.628571428571428,NA,NA,45,0,22
AGG.AX,multipleSymbols,AGG.AX,2,1,-23,-23,-23,0,-23,0,-23,NA,NA,0,100,0,NA,NA,-23,-23,-23,-23,NA,NA,NA,-23,-1,NA,NA,0,-23,-23
AGY.AX,multipleSymbols,AGY.AX,2,1,3,3,3,3,0,3,0,NA,NA,100,0,NA,3,3,NA,NA,3,3,NA,NA,NA,-11,0.272727272727273,NA,NA,10.5,-0.5,3
AHQ.AX,multipleSymbols,AHQ.AX,4,2,-1.5,-0.750000000000001,-0.750000000000001,4.99999999999999,-6.49999999999999,4.99999999999999,-6.49999999999999,8.13172798364529,5.74999999999999,50,50,0.769230769230769,4.99999999999999,4.99999999999999,-6.49999999999999,-6.49999999999999,-0.750000000000001,-0.750000000000001,8.13172798364529,5.74999999999999,-1.46412680352024,-9.5,-0.157894736842105,0.769230769230769,0.769230769230769,5,-6.5,-1.5
AHX.AX,multipleSymbols,AHX.AX,2,1,9,9,9,9,0,9,0,NA,NA,100,0,NA,9,9,NA,NA,9,9,NA,NA,NA,-8,1.125,NA,NA,10,0,9
AHY.AX,multipleSymbols,AHY.AX,2,1,-3.5,-3.50000000000001,-3.50000000000001,0,-3.50000000000001,0,-3.50000000000001,NA,NA,0,100,0,NA,NA,-3.50000000000001,-3.50000000000001,-3.50000000000001,-3.50000000000001,NA,NA,NA,-5,-0.7,NA,NA,1.5,-3.5,-3.5
AIR.AX,multipleSymbols,AIR.AX,2,1,-14,-14,-14,0,-14,0,-14,NA,NA,0,100,0,NA,NA,-14,-14,-14,-14,NA,NA,NA,-14,-1,NA,NA,0,-14,-14
AIS.AX,multipleSymbols,AIS.AX,4,2,27.3295,13.66475,13.66475,44.4104,-17.0809,44.4104,-17.0809,43.4809152139763,30.74565,50,50,2.60000351269547,44.4104,44.4104,-17.0809,-17.0809,13.66475,13.66475,43.4809152139763,30.74565,4.98888260055512,-37.578,0.72727393687796,2.60000351269547,2.60000351269547,64.9075,0,27.3295
AKG.AX,multipleSymbols,AKG.AX,3,1,1,-2.49999999999999,-2.49999999999999,0,-2.49999999999999,0,-2.49999999999999,NA,NA,0,100,0,NA,NA,-2.49999999999999,-2.49999999999999,-2.49999999999999,-2.49999999999999,NA,NA,NA,-7,0.142857142857143,NA,NA,6.5,-7,1
ALG.AX,multipleSymbols,ALG.AX,2,1,-26,-26,-26,0,-26,0,-26,NA,NA,0,100,0,NA,NA,-26,-26,-26,-26,NA,NA,NA,-30,-0.866666666666667,NA,NA,4,-26,-26
ALI.AX,multipleSymbols,ALI.AX,2,1,-2,-2,-2,0,-2,0,-2,NA,NA,0,100,0,NA,NA,-2,-2,-2,-2,NA,NA,NA,-4.00000000000003,-0.499999999999996,NA,NA,2.00000000000003,-2,-2
ALK.AX,multipleSymbols,ALK.AX,4,2,9.1123,4.55615,4.55615,15.8266,-6.7143,15.8266,-6.7143,15.9388232440478,11.27045,50,50,2.35714817628048,15.8266,15.8266,-6.7143,-6.7143,4.55615,4.55615,15.9388232440478,11.27045,4.53776529847968,-13.4286,0.678574088140239,2.35714817628048,2.35714817628048,14.3878,-9.5919,9.1123
AMA.AX,multipleSymbols,AMA.AX,2,1,-11.8833,-11.8833,-11.8833,0,-11.8833,0,-11.8833,NA,NA,0,100,0,NA,NA,-11.8833,-11.8833,-11.8833,-11.8833,NA,NA,NA,-11.8833,-1,NA,NA,0,-11.8833,-11.8833
AMH.AX,multipleSymbols,AMH.AX,2,1,1,1,1,1,0,1,0,NA,NA,100,0,NA,1,1,NA,NA,1,1,NA,NA,NA,-4.00000000000001,0.249999999999999,NA,NA,2.5,-2,1
AMI.AX,multipleSymbols,AMI.AX,6,3,-44,-14.6666666666667,-3,2,-43,2,-46,24.6644143115812,14.2400062421959,33.3333333333333,66.6666666666667,0.0434782608695653,2,2,-23,-23,-14.6666666666667,-3,24.6644143115812,14.2400062421959,-9.43975852953297,-62,-0.709677419354839,0.0869565217391305,0.0869565217391305,10,-52,-44
AML.AX,multipleSymbols,AML.AX,4,2,3.5,1.75,1.75,7.5,-4,7.5,-4,8.1317279836453,5.75,50,50,1.875,7.5,7.5,-4,-4,1.75,1.75,8.1317279836453,5.75,3.41629587488056,-9,0.388888888888889,1.875,1.875,7,-9,3.5
